Order ID,Customer Name,Segment,City,State,Country,Region,Product Name,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Salesperson,Order Date,Ship Date,Ship Mode,Payment
CA-2021-000651,Claire Gute,Consumer,Henderson,Kentucky,United States,South,Dell XPS 15 Laptop,technology,Machines,14,1291.2,0.0,18076.8,Ethan,07/17/2021,2021-07-24,Standard Class,Net 30
CA-2022-001713,Harold Pawlan,Home Office,Fort Worth,Texas,United States,East,Staples,office supplies,Fasteners,5,3.22,0.0,16.1,Diana,"Apr 04, 2024",2024-04-08,First Class,Credit Card
CA-2021-000433,Pete Kriz,Consumer,Madison,Wisconsin,United States,Central,Hon 5400 Series Chair,Chairs,Chairs,14,221.25,0.2,2478.0,Ethan,2024-03-22,2024-03-25,Standard Class,Net 30
CA-2022-000423,Darrin Van Huff,Corporate,Los Angeles,California,United States,East,Xerox 1967,Office supplies ,Paper,5,6.53,0.1,29.38,Carlos,07/07/2024,2024-07-13,First Class,Credit Card
CA-2021-001872,Harold Pawlan,Home Office,Fort Worth,Texas,United States,East,Hon 5400 Series Chair,Chairs,Chairs,9,215.51,,1939.59,Ethan,2023-09-23,2023-09-29,Same Day,Bank Transfer
CA-2022-000722,Andrew Allen,Consumer,Concord,North Carolina,United States,Central,Avery Binders,OFFICE SUPPLIES,Binders,2,12.95,0.0,25.9,Bob,"November 10, 2022",2022-11-14,Same Day,Credit Card
CA-2024-001668,Andrew Allen,Consumer,Concord,North Carolina,United States,Central,Bush Somerset Bookcase,Bookcases,Bookcases,2,$145.99,0.0,291.98,Bob,"February 04, 2021",2021-02-06,Same Day,Bank Transfer
CA-2022-001392,Priya Kumaran,Corporate,Austin,Texas,United States,West,Logitech MX Master Mouse,technology,Accessories,10,98.33,,688.31,Ethan,"June 02, 2022",2022-06-05,Same Day,Debit Card
CA-2022-000589,Irene Maddox,Consumer,Seattle,Washington,United States,East,Fellowes PB500 Binder,Office Supplies,Binders,2,195.36,0.0,390.72,Carlos,"January 27, 2023",2023-02-02,First Class,Net 30
CA-2024-001817,Neil French,Corporate,Dover,Delaware,United States,East,Bush Somerset Bookcase,Bookcases,Bookcases,11,141.02,0.2,1240.98,Farah,"Aug 18, 2022",2022-08-20,Second Class,Net 30
CA-2021-001104,Ranjit Bhatia,Consumer,Houston,Texas,United States,South,Apple iPhone 14,Technology,Phones,1,874.1,0.0,874.1,Ethan,"Apr 26, 2022",2022-05-03,Same Day,Debit Card
CA-2024-001129,Neil French,Corporate,Dover,Delaware,United States,West,Samsung 27in Monitor, Technology,Machines,15,372.48,0.2,4469.76,Diana,"Nov 01, 2022",2022-11-05,First Class,Credit Card
CA-2021-001975,Priya Kumaran,Corporate,Austin,Texas,United States,Central,Xerox 1967,office supplies,Paper,12,6.27,0.0,75.24,Farah,"Oct 14, 2024",2024-10-18,Same Day,PayPal
CA-2022-001238,Zuschuss Donatelli,Corporate,San Francisco,California,United States,Central,Acco 5-Section Folders,Office supplies ,Storage,11,4.09,0.0,44.99,Farah,11/21/2021,2021-11-23,Same Day,Debit Card
CA-2022-000030,Darrin Van Huff,Corporate,Los Angeles,California,United States,,Ikea Galant Desk,furniture,Tables,7,338.86,0.1,2134.82,Anna,2024-05-26,2024-06-01,Same Day,Credit Card
CA-2023-000545,Priya Kumaran,Corporate,Austin,Texas,United States,West,Eldon File Cart,office supplies,Storage,13,24.12,0.1,282.2,Diana,09/24/2021,2021-09-29,Second Class,PayPal
CA-2022-000454,Claire Gute,Consumer,Henderson,Kentucky,United States,East,Cisco TelePresence,TECHNOLOGY,Phones,2,4147.36,0.0,8294.72,Anna,"March 26, 2022",2022-04-02,Standard Class,Credit Card
CA-2021-001059,Ranjit Bhatia,Consumer,Houston,Texas,United States,South,Staples,Office supplies ,Fasteners,10,3.18,0.1,28.62,Farah,04/12/2024,2024-04-18,First Class,Net 30
CA-2024-000603,Julia West,Home Office,Charlotte,North Carolina,United States,Central,Bush Somerset Bookcase,Bookcases,Bookcases,5,137.55,0.2,550.2,Bob,"October 14, 2022",2022-10-21,First Class,Net 30
CA-2021-000057,Zuschuss Donatelli,Corporate,San Francisco,California,United States,West,Ikea Galant Desk,FURNITURE,Tables,1,335.89,0.0,335.89,Bob,"July 05, 2024",2024-07-08,Second Class,Bank Transfer
CA-2024-001794,Irene Maddox,Consumer,Seattle,Washington,United States,West,Bush Somerset Bookcase,Bookcases,Bookcases,6,$145.99,0.0,875.94,Farah,2022-02-12,2022-02-19,Standard Class,PayPal
CA-2024-000549,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,West,Fellowes PB500 Binder,OFFICE SUPPLIES,Binders,9,$199.00,0.0,1791.0,Anna,"Jun 18, 2022",2022-06-21,First Class,Bank Transfer
CA-2024-001118,Priya Kumaran,Corporate,Austin,Texas,United States,South,Xerox 1967,office supplies,Paper,1,6.52,0.0,6.52,,2024-11-07,2024-11-10,Standard Class,PayPal
CA-2023-000252,Irene Maddox,Consumer,Seattle,Washington,United States,South,Apple iPhone 14,Technology,Phones,2,$799.99,0.0,1599.98,Farah,2023-02-08,2023-02-11,Standard Class,PayPal
CA-2021-000100,Ahmed Hassan,Consumer,New York,New York,United States,South,Avery Binders,OFFICE SUPPLIES,Binders,14,12.31,0.1,155.11,Anna,"Dec 24, 2024",2024-12-31,First Class,
CA-2023-001345,Darrin Van Huff,Corporate,Los Angeles,California,United States,East,Fellowes PB500 Binder,Office Supplies,Binders,5,$199.00,0.3,696.5,Carlos,09/03/2024,2024-09-07,Second Class,Credit Card
CA-2021-000907,Neil French,Corporate,Dover,Delaware,United States,West,Hon 5400 Series Chair,Chairs,Chairs,8,220.5,0.3,1234.8,Farah,2024-01-23,2024-01-25,Second Class,Debit Card
CA-2024-000299,Ahmed Hassan,Consumer,New York,New York,United States,West,Cisco TelePresence,TECHNOLOGY,Phones,7,4331.65,0.0,30321.55,Bob,"July 15, 2022",2022-07-20,Same Day,Bank Transfer
CA-2023-001559,Claire Gute,Consumer,Henderson,Kentucky,United States,Central,Cisco TelePresence,TECHNOLOGY,Phones,7,4080.44,0.0,28563.08,Ethan,02/07/2021,2021-02-13,Standard Class,Debit Card
CA-2023-000926,Darrin Van Huff,Corporate,Los Angeles,California,United States,,Dell XPS 15 Laptop,Technology,Machines,7,1230.44,,8613.08,Bob,"Sep 30, 2022",2022-10-05,Second Class,PayPal
CA-2023-001285,Priya Kumaran,Corporate,Austin,Texas,United States,Central,Dell XPS 15 Laptop, Technology,Machines,13,$1249.00,0.2,12989.6,Farah,11/17/2024,2024-11-24,Second Class,Net 30
CA-2021-001364,Ahmed Hassan,Consumer,New York,New York,United States,South,Xerox 1967,Office Supplies,Paper,6,6.45,0.0,38.7,Carlos,"October 12, 2023",2023-10-15,Standard Class,Debit Card
CA-2024-001867,Irene Maddox,Consumer,Seattle,Washington,United States,,Avery Binders,Office supplies ,Binders,12,11.76,0.0,141.12,Bob,"August 14, 2022",2022-08-21,Second Class,Bank Transfer
CA-2021-001325,Darrin Van Huff,Corporate,Los Angeles,California,United States,East,Eldon File Cart,Office Supplies,Storage,11,25.11,0.1,248.59,Anna,08/14/2023,2023-08-21,Standard Class,PayPal
CA-2022-001547,Irene Maddox,Consumer,Seattle,Washington,United States,South,Acco 5-Section Folders,Office Supplies,Storage,2,4.64,0.1,8.35,Ethan,"Dec 29, 2021",2022-01-03,First Class,Credit Card
CA-2022-000528,Alejandro Grove,Consumer,West Jordan,Utah,United States,East,Samsung 27in Monitor, Technology,Machines,5,351.79,0.0,1758.95,Farah,"April 29, 2023",2023-05-04,Second Class,Bank Transfer
CA-2022-001445,Ahmed Hassan,Consumer,New York,New York,United States,East,Apple iPhone 14, Technology,Phones,14,$799.99,0.0,11199.86,Anna,11/19/2023,2023-11-22,Second Class,Bank Transfer
CA-2021-001256,Pete Kriz,Consumer,Madison,Wisconsin,United States,West,Samsung 27in Monitor, Technology,Machines,4,330.67,0.3,925.88,Bob,02/01/2024,2024-02-08,First Class,Bank Transfer
CA-2021-000071,Julia West,Home Office,Charlotte,North Carolina,United States,Central,Xerox 1967,Office supplies ,Paper,7,7.38,0.0,51.66,Farah,"August 20, 2023",2023-08-24,Same Day,Net 30
CA-2024-000276,Alejandro Grove,Consumer,West Jordan,Utah,United States,West,Apple iPhone 14, Technology,Phones,7,$799.99,0.0,5599.93,Carlos,"October 09, 2021",2021-10-12,Second Class,Credit Card
CA-2021-001055,Irene Maddox,Consumer,Seattle,Washington,United States,East,Ikea Galant Desk,Furniture,Tables,15,322.46,0.3,3385.83,Anna,2021-03-14,2021-03-21,Standard Class,Net 30
CA-2021-000412,Andrew Allen,Consumer,Concord,North Carolina,United States,Central,Apple iPhone 14,technology,Phones,12,791.39,0.3,6647.68,Anna,01/06/2022,2022-01-08,Same Day,
CA-2023-000066,,Consumer,Concord,North Carolina,United States,Central,Bush Somerset Bookcase,Bookcases,Bookcases,1,134.11,0.0,134.11,Diana,08/04/2023,2023-08-06,Same Day,PayPal
CA-2023-000618,Brosina Hoffman,Consumer,Los Angeles,California,United States,West,Xerox 1967,OFFICE SUPPLIES,Paper,13,$6.75,0.0,87.75,Bob,"Oct 01, 2022",2022-10-07,Same Day,Net 30
CA-2022-001010,Andrew Allen,Consumer,Concord,North Carolina,United States,Central,Fellowes PB500 Binder,OFFICE SUPPLIES,Binders,7,208.12,0.0,1456.84,Diana,"January 05, 2023",2023-01-12,Standard Class,Net 30
CA-2021-001569,Brosina Hoffman,Consumer,Los Angeles,California,United States,West,Dell XPS 15 Laptop,technology,Machines,1,1144.54,0.0,1144.54,Farah,"August 12, 2022",2022-08-16,Standard Class,Credit Card
CA-2022-001229,Julia West,Home Office,Charlotte,North Carolina,United States,Central,Canon PC1080F Copier,Technology,Copiers,8,458.91,0.2,2937.02,Carlos,2024-08-19,2024-08-23,Same Day,Credit Card
CA-2022-000999,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,Central,Avery Binders,Office supplies ,Binders,11,12.83,0.2,112.9,Anna,04/09/2022,2022-04-16,Same Day,Net 30
CA-2021-001407,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,South,Samsung 27in Monitor,TECHNOLOGY,Machines,2,$349.00,0.3,488.6,Bob,08/13/2024,2024-08-19,Same Day,Net 30
CA-2023-001499,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,Central,Bush Somerset Bookcase,Bookcases,Bookcases,3,151.08,0.1,407.92,Ethan,2022-09-06,2022-09-09,Same Day,Net 30
CA-2023-000112,Zuschuss Donatelli,Corporate,San Francisco,California,United States,South,Apple iPhone 14,technology,Phones,13,791.82,0.2,8234.93,Diana,"May 05, 2022",2022-05-09,First Class,PayPal
CA-2022-000353,Harold Pawlan,Home Office,Fort Worth,Texas,United States,East,Canon PC1080F Copier,technology,Copiers,7,486.26,,3063.44,Farah,07/27/2022,2022-08-01,First Class,Debit Card
CA-2021-001138,Harold Pawlan,Home Office,Fort Worth,Texas,United States,Central,Canon PC1080F Copier,technology,Copiers,4,509.35,0.0,2037.4,Bob,02/06/2024,2024-02-10,Second Class,PayPal
CA-2024-000862,Julia West,Home Office,Charlotte,North Carolina,United States,South,Fellowes PB500 Binder,office supplies,Binders,7,193.11,0.2,1081.42,Bob,"Jun 06, 2021",2021-06-10,Second Class,Bank Transfer
CA-2024-001062,Ahmed Hassan,Consumer,New York,New York,United States,South,Fellowes PB500 Binder,OFFICE SUPPLIES,Binders,1,215.15,0.0,215.15,Carlos,"August 22, 2024",2024-08-25,Standard Class,Net 30
CA-2023-000573,Alejandro Grove,Consumer,West Jordan,Utah,United States,South,Staples,Office Supplies,Fasteners,1,2.85,0.3,1.99,Anna,2021-11-21,2021-11-24,Second Class,Credit Card
CA-2021-000927,Neil French,Corporate,Dover,Delaware,United States,West,Bush Somerset Bookcase,Bookcases,Bookcases,14,$145.99,0.0,2043.86,Carlos,2022-12-11,2022-12-18,Second Class,Bank Transfer
CA-2023-001408,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,Central,Xerox 1967,Office Supplies,Paper,3,6.72,0.2,16.13,Carlos,"Apr 18, 2024",2024-04-20,Second Class,Credit Card
CA-2022-000439,Irene Maddox,Consumer,Seattle,Washington,United States,South,Fellowes PB500 Binder,Office Supplies,Binders,9,179.13,0.2,1289.74,Farah,"January 06, 2023",2023-01-08,Same Day,Net 30
CA-2021-001344,Andrew Allen,Consumer,Concord,North Carolina,United States,East,Cisco TelePresence,Technology,Phones,7,3847.52,0.0,26932.64,Diana,2024-07-07,2024-07-13,Same Day,PayPal
CA-2024-000747,Ranjit Bhatia,Consumer,Houston,Texas,United States,East,Xerox 1967,OFFICE SUPPLIES,Paper,8,7.08,0.3,39.65,Carlos,"Sep 06, 2022",2022-09-11,Standard Class,Debit Card
CA-2021-001394,Alejandro Grove,Consumer,West Jordan,Utah,United States,East,Eldon File Cart,Office Supplies,Storage,9,23.96,0.2,172.51,Anna,03/11/2022,2022-03-14,Second Class,Debit Card
CA-2022-001447,Andrew Allen,Consumer,Concord,North Carolina,United States,East,Acco 5-Section Folders,OFFICE SUPPLIES,Storage,4,4.61,0.2,14.75,Farah,"Aug 13, 2021",2021-08-15,Second Class,Credit Card
CA-2024-000544,Andrew Allen,Consumer,Concord,North Carolina,United States,East,Xerox 1967,Office supplies ,Paper,2,6.3,0.2,10.08,Bob,"Aug 29, 2021",2021-08-31,Second Class,Debit Card
CA-2021-001305,Brosina Hoffman,Consumer,Los Angeles,California,United States,Central,Xerox 1967,office supplies,Paper,11,7.27,,79.97,Carlos,2022-10-30,2022-11-03,Same Day,Credit Card
CA-2023-001193,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,East,Eldon File Cart,Office supplies ,Storage,2,23.27,0.0,46.54,Ethan,"Apr 29, 2024",2024-05-02,Standard Class,Net 30
CA-2024-001005,Ranjit Bhatia,Consumer,Houston,Texas,United States,South,Apple iPhone 14,technology,Phones,4,734.16,0.3,2055.65,Diana,"May 20, 2024",2024-05-26,Standard Class,Credit Card
CA-2024-000070,Neil French,Corporate,Dover,Delaware,United States,East,Samsung 27in Monitor,Technology,Machines,14,324.72,0.0,4546.08,Ethan,"September 16, 2021",2021-09-22,Same Day,Credit Card
CA-2021-000768,Andrew Allen,Consumer,Concord,North Carolina,United States,West,Bush Somerset Bookcase,Bookcases,Bookcases,12,$145.99,0.1,1576.69,Farah,"Sep 15, 2021",2021-09-22,Second Class,PayPal
CA-2024-000556,Priya Kumaran,Corporate,Austin,Texas,United States,Central,Staples,Office Supplies,Fasteners,13,2.88,0.0,37.44,Bob,"May 25, 2021",2021-05-31,Second Class,PayPal
CA-2022-001369,Irene Maddox,Consumer,Seattle,Washington,United States,East,Ikea Galant Desk,FURNITURE,Tables,5,339.96,0.0,1699.8,Farah,08/15/2021,2021-08-17,Same Day,Net 30
CA-2023-001302,Alejandro Grove,Consumer,West Jordan,Utah,United States,Central,Cisco TelePresence, Technology,Phones,13,4030.12,0.0,52391.56,Farah,09/04/2022,2022-09-07,First Class,
CA-2021-001692,Brosina Hoffman,Consumer,Los Angeles,California,United States,South,Ikea Galant Desk,FURNITURE,Tables,8,336.46,0.2,2153.34,Carlos,"Feb 05, 2023",2023-02-07,Standard Class,PayPal
CA-2021-001542,Zuschuss Donatelli,Corporate,San Francisco,California,United States,East,Ikea Galant Desk,Furniture,Tables,10,332.72,0.0,3327.2,Bob,08/27/2024,2024-08-30,Same Day,PayPal
CA-2024-000583,Irene Maddox,Consumer,Seattle,Washington,United States,East,Samsung 27in Monitor,TECHNOLOGY,Machines,11,316.05,0.2,2781.24,Farah,04/28/2024,2024-05-02,Standard Class,Net 30
CA-2022-000600,Zuschuss Donatelli,Corporate,San Francisco,California,United States,,Cisco TelePresence,TECHNOLOGY,Phones,8,$3999.00,0.3,22394.4,Ethan,10/22/2023,2023-10-25,Same Day,Bank Transfer
CA-2023-000591,Claire Gute,Consumer,Henderson,Kentucky,United States,South,Avery Binders,Office supplies ,Binders,9,13.42,0.1,108.7,Diana,"September 13, 2023",2023-09-19,Second Class,Debit Card
CA-2023-001601,,Consumer,Seattle,Washington,United States,East,Samsung 27in Monitor, Technology,Machines,4,354.26,0.2,1133.63,Ethan,"Apr 02, 2021",2021-04-07,Second Class,Debit Card
CA-2024-000679,Pete Kriz,Consumer,Madison,Wisconsin,United States,West,Samsung 27in Monitor,Technology,Machines,2,361.08,0.2,577.73,Bob,"Aug 15, 2023",2023-08-18,Second Class,Debit Card
CA-2024-001906,Julia West,Home Office,Charlotte,North Carolina,United States,East,Canon PC1080F Copier,technology,Copiers,2,470.84,0.0,941.68,Diana,"Apr 22, 2023",2023-04-28,First Class,Net 30
CA-2022-001819,Zuschuss Donatelli,Corporate,San Francisco,California,United States,West,Apple iPhone 14, Technology,Phones,10,781.88,0.3,5473.16,Diana,2024-01-15,2024-01-18,Standard Class,Credit Card
CA-2022-001091,Darrin Van Huff,Corporate,Los Angeles,California,United States,South,Samsung 27in Monitor,Technology,Machines,15,329.97,0.0,4949.55,Anna,2024-08-13,2024-08-20,Standard Class,
CA-2024-000706,Julia West,Home Office,Charlotte,North Carolina,United States,West,Canon PC1080F Copier,Technology,Copiers,2,454.83,0.3,636.76,Diana,"Aug 09, 2022",2022-08-15,Same Day,Bank Transfer
CA-2022-000465,Neil French,Corporate,Dover,Delaware,United States,East,Staples,Office Supplies,Fasteners,8,3.06,0.0,24.48,Carlos,12/07/2024,2024-12-14,Standard Class,PayPal
CA-2021-000515,Neil French,Corporate,Dover,Delaware,United States,,Acco 5-Section Folders,office supplies,Storage,2,$4.25,0.1,7.65,Bob,2023-04-01,2023-04-08,First Class,Debit Card
CA-2022-001650,Darrin Van Huff,Corporate,Los Angeles,California,United States,East,Acco 5-Section Folders,Office supplies ,Storage,12,4.48,0.2,43.01,Farah,02/02/2024,2024-02-04,Same Day,Debit Card
CA-2021-001952,Neil French,Corporate,Dover,Delaware,United States,West,Fellowes PB500 Binder,OFFICE SUPPLIES,Binders,5,182.0,0.2,728.0,Bob,"Aug 14, 2021",2021-08-18,Second Class,Net 30
CA-2021-000874,,Consumer,Madison,Wisconsin,United States,Central,Acco 5-Section Folders,Office supplies ,Storage,12,4.49,0.3,37.72,Bob,2024-11-09,2024-11-13,Standard Class,Credit Card
CA-2022-001294,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,East,Ikea Galant Desk,Furniture,Tables,3,326.21,0.3,685.04,Ethan,"April 01, 2022",2022-04-05,Same Day,
CA-2022-000129,Brosina Hoffman,Consumer,Los Angeles,California,United States,,Ikea Galant Desk,furniture,Tables,5,352.46,0.0,1762.3,Anna,2021-09-09,2021-09-12,First Class,Net 30
CA-2021-001380,Pete Kriz,Consumer,Madison,Wisconsin,United States,West,Xerox 1967,office supplies,Paper,12,6.43,0.0,77.16,Anna,2024-07-31,2024-08-05,Second Class,Bank Transfer
CA-2021-001690,Brosina Hoffman,Consumer,Los Angeles,California,United States,South,Xerox 1967,office supplies,Paper,8,7.41,0.1,53.35,,2022-01-05,2022-01-11,First Class,Credit Card
CA-2022-000533,Zuschuss Donatelli,Corporate,San Francisco,California,United States,West,Apple iPhone 14, Technology,Phones,14,$799.99,0.1,10079.87,Anna,2023-01-15,2023-01-22,Standard Class,Bank Transfer
CA-2023-000858,Darrin Van Huff,Corporate,Los Angeles,California,United States,South,Acco 5-Section Folders,Office supplies ,Storage,7,3.95,0.0,27.65,,"May 28, 2024",2024-06-01,Standard Class,Debit Card
CA-2023-000938,Claire Gute,Consumer,Henderson,Kentucky,United States,South,Logitech MX Master Mouse, Technology,Accessories,6,91.99,0.3,386.36,Diana,"Dec 29, 2024",2025-01-04,Standard Class,Net 30
CA-2023-000362,Alejandro Grove,Consumer,West Jordan,Utah,United States,South,Eldon File Cart,Office supplies ,Storage,3,$22.99,0.3,48.28,Bob,"Jan 01, 2023",2023-01-05,Second Class,Bank Transfer
CA-2023-000577,Ranjit Bhatia,Consumer,Houston,Texas,United States,Central,Samsung 27in Monitor,Technology,Machines,1,370.58,0.0,370.58,Farah,08/11/2022,2022-08-17,Same Day,Net 30
CA-2023-001914,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,East,Bush Somerset Bookcase,Bookcases,Bookcases,3,147.04,,397.01,Anna,11/01/2022,2022-11-04,First Class,Credit Card
CA-2024-000257,Neil French,Corporate,Dover,Delaware,United States,South,Dell XPS 15 Laptop, Technology,Machines,13,1366.58,0.2,14212.43,Ethan,2022-04-11,2022-04-17,Second Class,PayPal
CA-2021-001240,Harold Pawlan,Home Office,Fort Worth,Texas,United States,East,Samsung 27in Monitor,technology,Machines,4,339.86,0.2,1087.55,Diana,"October 31, 2024",2024-11-03,Same Day,Net 30
CA-2022-001090,Darrin Van Huff,Corporate,Los Angeles,California,United States,East,Cisco TelePresence, Technology,Phones,6,3992.97,0.2,19166.26,Bob,"May 08, 2021",2021-05-14,Same Day,Debit Card
CA-2021-000487,Neil French,Corporate,Dover,Delaware,United States,,Staples,Office supplies ,Fasteners,5,3.1,0.0,15.5,Bob,"Aug 29, 2023",2023-09-02,Standard Class,
CA-2023-000343,Claire Gute,Consumer,Henderson,Kentucky,United States,West,Logitech MX Master Mouse,TECHNOLOGY,Accessories,12,$89.99,0.0,1079.88,Ethan,"January 31, 2024",2024-02-04,Second Class,PayPal
CA-2022-000813,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,East,Apple iPhone 14,TECHNOLOGY,Phones,15,862.07,,11637.95,Ethan,"April 21, 2024",2024-04-26,First Class,
CA-2022-001176,Ranjit Bhatia,Consumer,Houston,Texas,United States,South,Dell XPS 15 Laptop,TECHNOLOGY,Machines,12,1183.87,0.1,12785.8,Farah,2023-06-11,2023-06-16,Standard Class,Net 30
CA-2024-001042,Pete Kriz,Consumer,Madison,Wisconsin,United States,Central,Avery Binders,office supplies,Binders,2,13.32,0.0,26.64,Diana,2021-06-21,2021-06-28,Second Class,PayPal
CA-2022-001581,Zuschuss Donatelli,Corporate,San Francisco,California,United States,East,Ikea Galant Desk,furniture,Tables,10,332.65,0.0,3326.5,Ethan,"April 09, 2021",2021-04-15,Second Class,
CA-2024-001891,Brosina Hoffman,Consumer,Los Angeles,California,United States,West,Avery Binders,Office supplies ,Binders,3,13.69,0.1,36.96,Carlos,"February 07, 2022",2022-02-13,First Class,Debit Card
CA-2023-000308,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,Central,Cisco TelePresence,TECHNOLOGY,Phones,9,3672.64,0.0,33053.76,Bob,"March 13, 2022",2022-03-20,Same Day,Bank Transfer
CA-2022-001420,Harold Pawlan,Home Office,Fort Worth,Texas,United States,Central,Staples,OFFICE SUPPLIES,Fasteners,12,2.81,0.2,26.98,,"March 25, 2022",2022-04-01,First Class,Debit Card
CA-2024-000520,Pete Kriz,Consumer,Madison,Wisconsin,United States,West,Hon 5400 Series Chair,Chairs,Chairs,1,$210.00,0.2,168.0,Carlos,09/12/2024,2024-09-16,Same Day,
CA-2022-001122,Harold Pawlan,Home Office,Fort Worth,Texas,United States,West,Bush Somerset Bookcase,Bookcases,Bookcases,15,158.48,0.0,2377.2,Diana,09/05/2021,2021-09-07,First Class,Bank Transfer
CA-2021-000681,,Consumer,New York,New York,United States,Central,Acco 5-Section Folders,office supplies,Storage,2,4.61,0.3,6.45,Diana,"October 05, 2023",2023-10-07,Same Day,Bank Transfer
CA-2022-000234,Ahmed Hassan,Consumer,New York,New York,United States,West,Samsung 27in Monitor,Technology,Machines,7,365.43,0.0,2558.01,Ethan,07/17/2023,2023-07-21,Standard Class,Debit Card
CA-2021-000232,Darrin Van Huff,Corporate,Los Angeles,California,United States,West,Canon PC1080F Copier,Technology,Copiers,9,491.0,0.0,4419.0,,"October 19, 2021",2021-10-26,Same Day,Net 30
